biosample_name,num_experiment,group_refined_1,group_refined_2,group_refined_3,group,explanation,color,big_group
heart,83,heart,heart,heart,Heart,,#D56F80,1
liver,80,liver,liver,liver,Liver,,#9BC2E6,2
forebrain,73,forebrain,forebrain,brain ,Brain,,#C5912B,3
midbrain,73,midbrain,midbrain,brain ,Brain,,#C5912B,3
hindbrain,73,hindbrain,hindbrain,brain ,Brain,,#C5912B,3
limb,54,limb ,limb ,limb ,Muscle,,#F9B6CF,22
embryonic facial prominence,54,embryonic facial promincence,embryonic facial promincence,embryo,embryo,,#AF5B39,18
kidney,48,kidney,kidney,kidney,kidney,,#F4B084,23
neural tube,47,neural tube,neuron ,neuron ,neuron,,#FFD924,4
lung,42,lung,lung,lung,lung,,#E41A1C,5
stomach,37,stomach,stomach,stomach,stomach,,#E5BDB5,6
intestine,36,intestine,intestine,intestine,intestine,,#D0A39B,7
CH12.LX,14,B-cells,white blood cells,immunity,white blood cells,,#678C69,8
MEL,13,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,Murine erythroleukemia (MEL) cell lines are erythroid progenitor cells derived from the spleens of susceptible mice infected with the Friend virus complex 1. These virally transformed cells are arrested at the proerythroblast stage of development and can be maintained in tissue culture indefinitely ,#55A354,9
ES-E14,9,ESC,ESC,ESC,ESC,"Mouse E14 embryonic stem cells (ESCs) are a well-characterized and widespread used ESC line, often employed for genome-wide studies involving next generation sequencing analysis",#924965,16
cerebellum,9,hindbrain,hindbrain,brain ,Brain,,#C5912B,3
thymus,9,thymus,thymus,thymus,Thymus,,#C6E0B4,11
spleen,7,spleen,spleen,spleen,Spleen,,#678C69,12
G1E,7,ESC,ESC,ESC,ESC,"G1E cells are an immortalized Gata1 null cell line derived from embryonic stem cells [1], and the daughter cell line G1E-ER4 has been stably rescued by transduction with a virus expressing a hybrid gene encoding the GATA1-ER protein",#924965,16
myocyte,6,muscle,muscle,muscle,Muscle,,#F9B6CF,22
ES-Bruce4,6,ESC,ESC,ESC,ESC,An embryonic cell line isolated from C57BL/6 mouse strain. Injection of Bruce4 cells into C57BL/6 blastocysts will produce agouti chimeras.,#924965,16
testis,6,testis,testis,testis,testis,,#ACB9CA,13
