exp_id,organ_group,cell_group,development_group,system_group,Biosample term id,Biosample term name,Biosample type,Biosample organism,Assay,Experiment target,File assembly,Donor(s)
ENCSR000ADI,lymph_node,B_cell,mesoderm,immune,EFO:0005233,CH12.LX,cell line,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO324YEK/
ENCSR000ADK,embryo,embryonic_cell,unknown,unknown,EFO:0007075,ES-E14,cell line,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO015AAA/
ENCSR000ADL,embryo,embryonic_cell,unknown,unknown,EFO:0007075,ES-E14,cell line,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO015AAA/
ENCSR000ADM,embryo,embryonic_cell,unknown,unknown,EFO:0007075,ES-E14,cell line,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO015AAA/
ENCSR000ADP,spleen,cancer_cell,mesoderm,immune,EFO:0003971,MEL,cell line,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO073AAA/
ENCSR000ADQ,spleen,cancer_cell,mesoderm,immune,EFO:0003971,MEL,cell line,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO073AAA/
ENCSR000ADR,spleen,cancer_cell,mesoderm,immune,EFO:0003971,MEL,cell line,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO073AAA/
ENCSR000ADT,spleen,cancer_cell,mesoderm,immune,EFO:0003971,MEL,cell line,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO073AAA/
ENCSR000AHL,musculature,embryonic_cell,mesoderm,musculature,EFO:0001098,C2C12,cell line,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO321TZV/
ENCSR000AHM,musculature,unknown,mesoderm,musculature,CL:0000187,myocyte,in vitro differentiated cells,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO321TZV/
ENCSR000AHN,musculature,unknown,mesoderm,musculature,CL:0000187,myocyte,in vitro differentiated cells,Mus musculus,Histone ChIP-seq,H3K79me2-mouse,mm10,/mouse-donors/ENCDO321TZV/
ENCSR000AHO,musculature,embryonic_cell,mesoderm,musculature,EFO:0001098,C2C12,cell line,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO321TZV/
ENCSR000AHQ,musculature,embryonic_cell,mesoderm,musculature,EFO:0001098,C2C12,cell line,Mus musculus,Histone ChIP-seq,H3K79me2-mouse,mm10,/mouse-donors/ENCDO321TZV/
