experimentID	organ_slims	cell_slims	developmental_slims	system_slims	biosample_summary	simple_biosample_summary
ENCSR000ADP	['spleen', 'immune organ']	['cancer cell']	['mesoderm']	['immune system', 'digestive system']	Mus musculus strain MEL MEL	strain MEL DBA/2
ENCSR000CER	['spleen', 'immune organ']	['cancer cell']	['mesoderm']	['immune system', 'digestive system']	Mus musculus strain MEL MEL	strain MEL DBA/2
ENCSR000DHY	['lymph node', 'blood', 'bodily fluid']	['B cell', 'leukocyte', 'hematopoietic cell']	['mesoderm']	['immune system']	Mus musculus strain B10.H-2aH-4bp/Wts CH12.LX	strain B10.H-2aH-4bp/Wts B10.H-2aH-4bp/Wts
ENCSR000AHR	['musculature of body']	['embryonic cell', 'myoblast']	['mesoderm']	['musculature']	Mus musculus C2C12	C3H
ENCSR000AHM	['musculature of body']	[]	['mesoderm']	['musculature']	Mus musculus myocyte originated from C2C12	C3H
ENCSR059MBO	['embryo']	['embryonic cell', 'stem cell']	[]	[]	Mus musculus strain 129/Ola E14TG2a.4	strain 129/Ola 129
ENCSR642ZLN	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NCrl liver tissue embryo (12.5 days)	mixed sex embryo (12.5 days) strain B6NCrl C57BL/6
ENCSR550QED	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NCrl liver tissue embryo (13.5 days)	mixed sex embryo (13.5 days) strain B6NCrl C57BL/6
ENCSR570HJI	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NCrl liver tissue embryo (15.5 days)	mixed sex embryo (15.5 days) strain B6NCrl C57BL/6
ENCSR135QMP	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NCrl liver tissue embryo (16.5 days)	mixed sex embryo (16.5 days) strain B6NCrl C57BL/6
ENCSR337XUK	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NTac;B6NCrl/Lap liver tissue embryo (14.5 days)	mixed sex embryo (14.5 days) strain B6NTac;B6NCrl/Lap C57BL/6
ENCSR973UGS	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NTac;B6NCrl/Lap liver tissue postnatal (0 days)	mixed sex postnatal (0 days) strain B6NTac;B6NCrl/Lap C57BL/6
ENCSR244KCW	['liver', 'exocrine gland', 'endocrine gland']	[]	['endoderm']	['endocrine system', 'exocrine system', 'digestive system']	Mus musculus strain B6NCrl liver tissue embryo (11.5 days)	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6
ENCSR758FWH	['lung']	[]	['endoderm']	['respiratory system']	Mus musculus strain B6NCrl lung tissue embryo (16.5 days)	mixed sex embryo (16.5 days) strain B6NCrl C57BL/6
