State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.69942	0.73801	0.75730	0.73318	0.64636	0.71389	0.82001	0.77177	0.68012	0.70906	0.81518	0.73321	0.87310	0.79592	0.85380	1.00816	1.06605	1.04675	1.07570	1.00816	1.10464
2	0.96530	1.02457	0.99917	1.00764	1.06691	0.95683	0.95683	1.19392	1.19392	0.96530	0.77055	0.87219	0.88913	0.99921	0.99074	1.33792	1.24478	1.42260	1.25325	1.35486	1.49035
3	3.44937	3.56774	3.75373	3.96509	3.88055	4.05809	4.05809	4.12572	4.06654	3.65228	1.92759	2.63786	2.58713	2.56177	3.01832	2.95914	3.08596	3.28041	3.14514	3.21278	3.43260
4	1.87602	1.71579	1.89938	1.89938	1.88937	1.91274	2.04626	2.10301	2.13639	1.95613	1.25847	1.62906	1.75257	1.87943	1.82268	1.85272	1.84271	1.74924	1.79263	1.89278	1.86607
5	0.63535	0.64349	0.80640	0.78197	0.72495	0.57833	0.74939	0.80640	0.64349	0.82270	0.59462	0.72498	0.70869	0.76571	0.81458	0.82273	0.81458	0.95306	0.82273	0.80644	1.05081
6	0.48532	0.66180	0.83828	0.61768	0.66180	0.75004	0.92651	0.82357	0.85298	0.70592	0.67650	0.82360	1.02950	1.19128	1.05892	1.01479	1.14716	0.86772	1.22069	1.38247	1.27952
7	0.82627	0.85868	0.82627	0.89108	0.77767	1.21511	1.03689	1.23131	1.21511	1.08550	1.05309	1.31237	1.40958	1.45819	1.65261	1.37718	1.45819	1.39338	1.57160	1.45819	1.60400
8	1.82420	1.64178	1.51148	1.51148	1.95450	1.98056	1.95450	1.92844	2.26722	2.26722	1.79814	2.37155	3.07520	3.07520	3.04914	3.07520	2.65823	2.39762	2.39762	2.39762	2.37155
9	0.87475	0.83374	0.83374	1.01143	0.94309	0.87475	1.06610	0.97042	0.86108	0.75173	0.87475	1.21649	1.23016	1.03880	1.21649	1.23016	1.29850	1.36684	1.53086	1.42152	1.33951
10	1.37969	1.17064	0.96160	0.82224	1.00341	1.03128	1.10096	1.04522	1.08703	1.26820	1.05915	1.24037	1.18463	1.26825	1.36580	1.65848	1.53305	1.72816	1.72816	1.99296	2.28563
11	1.08855	1.05069	1.18320	1.06015	1.03175	1.00336	1.02229	1.01282	0.88977	1.02229	0.87084	1.01286	1.22111	1.06966	1.23058	1.39150	1.48616	1.55242	1.62815	1.51456	1.54296
12	0.98268	1.04493	1.00936	1.00936	0.91598	0.91598	0.90264	0.88930	0.95155	0.96934	1.20501	1.10278	1.19616	1.26731	1.24062	1.28954	1.31177	1.35624	1.50743	1.59191	1.42739
13	0.72184	0.73075	0.80204	0.71292	0.63272	0.76639	0.70401	0.89116	0.77531	0.90898	0.73966	0.96249	0.82881	0.90901	0.93575	0.94466	1.10508	1.24767	1.21202	1.22984	1.36352
14	0.62781	0.52891	0.54181	0.50741	0.63641	0.58481	0.47301	0.51601	0.63211	0.69231	0.70522	0.60204	0.58053	0.77835	0.73534	0.72674	0.77405	0.88585	0.91165	0.93746	0.86435
15	0.32910	0.38994	0.35814	0.38026	0.37335	0.36229	0.40100	0.39686	0.39824	0.43834	0.53375	0.43697	0.43421	0.42591	0.39687	0.45218	0.49505	0.49782	0.53930	0.51303	0.53654
16	0.33113	0.50644	0.36035	0.38957	0.41879	0.41879	0.37009	0.37983	0.40905	0.43826	0.61357	0.48698	0.46750	0.42854	0.44802	0.52594	0.48698	0.61359	0.59412	0.73047	0.89604
17	0.83523	0.85160	0.70421	0.75334	0.85160	0.73696	0.58957	0.76972	0.80247	0.68783	0.62233	0.90077	0.75337	0.78613	0.54046	0.76975	0.83526	0.86801	0.73699	0.85164	0.98266
18	0.58457	0.54206	0.52080	0.44640	0.34011	0.49954	0.41451	0.37200	0.31886	0.43577	0.57394	0.46767	0.39327	0.51019	0.45704	0.58459	0.46767	0.34013	0.42516	0.47830	0.54208
19	0.54590	0.48925	0.48410	0.47380	0.47380	0.36050	0.43260	0.39655	0.41715	0.50470	0.54590	0.46866	0.51502	0.52017	0.49956	0.54077	0.56137	0.61287	0.53047	0.61287	0.57682
20	1.67156	1.66823	1.61174	1.65827	1.70645	1.63168	1.63999	1.75962	1.97397	2.65190	2.96926	1.62510	1.52540	1.58854	1.64504	1.59685	1.65168	1.74307	1.61014	1.56195	1.53038
21	2.73577	2.60778	2.73577	2.87576	2.71177	2.96775	2.77977	2.98775	3.01575	3.93567	5.01158	2.35989	2.42389	2.47589	2.40789	2.44789	2.47589	2.24790	2.19590	2.23190	2.09990
22	3.25087	3.25809	3.42045	3.33025	3.46014	3.30500	3.47457	3.19675	3.27974	3.53591	4.12403	3.35925	3.11750	3.16079	2.85770	2.85770	2.60874	2.57266	2.57987	2.47884	2.27317
23	3.93763	4.02958	3.92164	3.90165	3.90165	3.81771	3.66580	3.67379	3.33799	3.40995	3.84969	3.53801	3.12624	2.97033	2.83441	2.57855	2.37866	2.05884	1.79899	1.85895	1.89893
24	5.66168	5.69571	5.60213	5.63616	5.18101	5.00235	5.02788	4.75989	4.33878	3.84960	3.46251	4.74731	4.29640	3.79019	3.27122	2.79054	2.52254	2.47575	2.35664	2.21201	2.04186
25	5.64941	5.65560	5.36478	5.46378	5.53804	5.64941	5.41428	5.83505	5.42047	5.05539	5.03683	6.02710	5.92190	5.53825	5.47637	5.24741	5.33405	4.65337	4.54817	3.86130	4.18927
26	11.37016	11.27793	11.84811	11.53786	12.04935	12.36799	12.67823	12.22544	12.88786	10.38072	6.45651	10.41467	9.91993	9.02269	8.78790	8.19253	7.37077	7.16113	6.72509	6.45676	5.77754
27	5.07549	5.22883	5.10616	4.93749	5.19816	5.50484	5.30550	5.29017	5.32083	4.69215	5.25950	6.13376	5.84241	5.33637	5.15236	4.49298	4.43164	4.06362	4.23230	3.94094	3.92561
28	2.02635	2.20977	2.10496	1.97395	2.28838	2.11370	2.13116	2.00015	2.14863	2.05256	2.59408	2.45443	2.41949	2.72520	2.58545	2.48937	2.26227	2.47190	2.34088	2.07884	2.00023
29	2.01174	2.04940	2.07451	2.16238	2.09334	2.05568	2.09648	2.19063	2.12158	2.08706	2.29106	2.40727	2.42297	2.38844	2.33509	2.36020	2.33823	2.22838	2.17188	2.15305	2.17188
30	2.97326	2.91120	3.07481	2.92248	3.09738	3.16508	3.08045	2.99583	2.96762	2.87170	2.73066	3.28933	3.31190	3.56579	3.65042	3.45859	3.50373	3.41345	3.52065	3.44731	3.24983
31	5.67447	5.98343	5.71567	6.23059	6.04522	6.71462	6.61164	6.50865	6.60134	5.71567	4.07821	6.03515	6.05575	5.89097	6.18964	6.16904	6.03515	5.78798	5.50991	5.65409	5.17005
32	11.17219	11.88620	12.26421	13.18822	14.84725	15.68726	16.73728	17.59829	17.07329	14.63724	9.80716	14.53280	16.31790	15.26784	14.00777	14.04978	12.51669	11.84465	10.85760	9.95455	10.16456
33	3.55846	3.63798	3.87653	3.93617	3.97593	3.81689	4.25425	4.19461	3.93617	3.14099	2.96207	3.55860	3.28027	2.92242	3.06158	2.74350	3.10135	3.28027	3.16099	2.68386	2.32601
34	0.54532	0.52513	0.51503	0.62611	0.62611	0.60592	0.58572	0.50493	0.44434	0.55542	0.49483	0.55544	0.72713	0.59584	0.68673	0.71703	0.74733	0.83822	0.75742	0.62614	0.69683
35	0.34983	0.34983	0.35557	0.37277	0.36704	0.45306	0.37851	0.40145	0.44733	0.50468	0.48174	0.46455	0.36705	0.46455	0.41293	0.47602	0.51043	0.48749	0.50470	0.54484	0.44735
36	0.41609	0.44810	0.42676	0.40542	0.35208	0.39476	0.44810	0.39476	0.41609	0.43743	0.39476	0.52280	0.59749	0.46946	0.51214	0.62950	0.65084	0.48013	0.46946	0.54414	0.52280
37	0.81697	0.70297	0.74097	0.66498	0.70297	0.56998	0.77897	0.93097	0.83597	0.74097	0.77897	0.83600	0.70300	0.79800	0.70300	0.81700	0.72200	0.83600	0.83600	0.89300	0.77900
38	1.92982	2.02028	1.99012	1.89966	1.80920	1.59813	1.59813	1.62828	1.68859	1.62828	1.44736	1.32680	1.56804	2.17113	2.38221	1.71881	1.80927	1.96005	2.14097	1.86958	2.20128
39	1.68483	1.64820	1.86796	2.08772	2.60049	2.41736	2.34411	2.27085	2.16097	1.79471	1.46507	1.50175	1.39187	1.13547	1.35524	1.39187	1.24536	1.24536	1.53838	1.53838	1.61164
40	3.80158	3.77607	3.31681	3.18925	3.16373	3.41887	3.08719	2.70448	2.24523	1.96457	1.45430	1.42884	1.68399	1.88811	1.91362	2.04120	1.99017	2.14326	2.34737	2.32186	2.37289
41	4.79146	4.66860	4.48431	4.11574	4.54574	4.07479	3.68574	3.39907	3.56288	3.89050	3.91098	3.89065	3.72683	4.32067	4.64830	4.87355	5.40596	4.93498	4.68926	5.30357	5.46739
42	4.49819	4.19181	4.08040	3.94114	3.63476	3.39801	3.24482	2.54851	2.53458	2.14465	2.21428	2.21436	2.85500	3.30066	3.42600	3.48171	3.30066	3.32851	3.45385	3.17532	3.45385
43	3.76010	3.70787	2.97674	2.76785	2.66340	1.82782	1.88005	3.81232	2.66340	1.41004	2.14117	3.34244	3.65579	3.49911	3.18576	2.87241	2.87241	3.18576	3.70802	3.91692	3.65579
44	3.41011	3.38216	3.52192	3.57782	2.85108	2.65542	3.10264	3.71758	4.22071	3.60577	3.74553	4.47245	4.47245	3.77363	3.82954	4.52836	4.47245	4.19292	4.22087	4.91970	3.63387
45	2.21007	2.12614	2.48982	2.01424	2.01424	2.21007	2.21007	2.60172	1.79043	2.18209	2.15412	1.67860	1.37085	1.56669	1.39883	1.34288	1.76253	1.79050	1.42681	1.48276	1.51074
46	3.09956	3.26863	3.01503	2.87414	2.19787	2.22605	2.05698	2.33876	2.31058	2.08516	1.69067	1.94435	1.85981	1.40895	1.57802	2.19796	2.67700	3.69144	3.88869	3.57872	3.49419
47	2.83055	2.57323	2.20154	2.63041	2.11576	1.94421	2.05858	2.28731	2.20154	2.48745	2.54463	2.43036	2.17303	1.85851	1.74414	1.31525	1.88710	1.94429	2.40177	2.57332	3.14517
48	11.32196	12.09980	13.05050	13.13693	14.34691	16.50759	17.45829	16.68045	15.55689	16.24831	12.87765	14.77962	13.74245	11.23597	10.97667	10.71738	10.28523	10.71738	9.68022	8.98877	9.59379
49	2.10794	1.64682	1.64682	1.88836	1.86640	1.73466	1.69074	2.02010	2.17381	2.08598	1.80053	2.10802	2.15193	2.34956	2.87656	2.63502	2.83265	2.89852	3.05223	3.20594	2.96440
50	1.33972	1.15026	1.17733	1.05554	1.00141	1.13673	1.38032	1.24499	1.42092	1.19086	0.90668	1.21797	1.21797	1.24504	1.19091	1.55630	1.73223	1.52923	1.73223	1.65103	1.61043
51	0.84345	0.90694	0.80717	0.86159	0.83438	0.77997	0.81624	0.71648	0.85252	0.88880	1.23343	0.79813	1.18813	1.15185	1.23348	1.20627	1.38767	1.67790	1.36953	1.55999	1.51464
52	0.85268	0.90897	0.90334	0.86394	0.86957	0.90334	0.86957	0.83580	0.81047	0.87801	1.11721	0.99061	0.97936	0.99343	1.02720	1.09474	1.16228	1.21294	1.25234	1.39587	1.39024
53	1.10162	1.19413	1.12685	1.17731	1.05958	1.13526	1.09321	1.18572	1.11844	1.16890	1.01753	1.27827	1.15212	1.37918	1.47169	1.48851	1.64829	1.58102	1.69875	1.47169	1.56420
54	2.36832	2.31932	2.67865	2.62965	2.84198	2.66232	2.95632	3.26665	3.59331	3.03798	2.13966	2.56442	2.54808	2.92376	3.10344	2.98910	4.01813	3.70779	3.93646	4.08347	4.32848
55	2.32330	2.21397	2.18664	1.94064	2.51463	2.07731	1.94064	2.43263	2.67863	2.13197	2.35064	3.66276	4.01810	3.99077	3.49876	3.66276	3.41675	4.04544	4.37344	4.04544	4.15477
56	1.30202	1.61766	1.26256	1.24284	1.44011	1.24284	1.14420	1.24284	1.12447	1.61766	1.61766	1.77555	1.75582	2.13066	1.89392	1.69664	2.17011	2.64359	2.66332	2.52522	2.34767
57	1.89439	1.64418	1.80503	1.75141	1.46547	1.91226	1.93013	2.14459	1.89439	1.98374	2.30543	1.80510	2.68084	2.85956	2.46637	3.27062	3.23488	3.16339	3.53871	3.37786	3.62807
58	1.47864	1.47864	1.57889	1.75432	1.97988	1.85457	2.00494	2.25556	2.13025	1.95482	1.27815	1.77945	1.92983	1.62908	1.75439	2.23058	1.67920	1.75439	1.80451	1.75439	1.97995
59	0.92601	0.77337	0.88531	0.88531	0.88531	1.00742	1.11936	0.94637	0.96672	0.88531	0.93619	0.92605	1.02781	0.95658	1.02781	0.95658	0.96675	1.01764	1.02781	1.33310	1.29240
60	4.18661	4.16917	4.37850	4.37850	4.65761	4.51806	4.29128	4.15173	4.18661	3.75051	3.22718	3.17497	3.57620	3.57620	3.45409	3.47154	3.38431	3.45409	3.36687	3.59365	3.75065
61	1.61407	1.51319	1.46780	1.49302	1.54850	1.42240	1.42744	1.47284	1.45771	1.44258	1.15507	1.40228	1.47290	1.47794	1.47290	1.44263	1.46281	1.48803	1.45272	1.52838	1.57882
62	1.10904	1.09160	1.01311	1.01456	0.98549	1.05090	1.05817	1.03055	1.02910	0.95787	0.87357	1.02187	1.05966	1.12507	1.08728	1.12071	1.08146	1.03495	1.05239	1.15124	1.19048
63	0.70942	0.71423	0.72144	0.72529	0.73780	0.70028	0.64209	0.61323	0.59928	0.69547	0.95471	0.78208	0.74985	0.74360	0.79554	0.79843	0.82104	0.86673	0.90136	0.88597	0.90424
64	0.45813	0.48268	0.42132	0.42950	0.40496	0.37632	0.37223	0.35587	0.48268	0.42950	0.29452	0.42952	0.47042	0.44179	0.44588	0.49088	0.57269	0.45406	0.49906	0.56860	0.51951
65	0.40829	0.41779	0.47001	0.49850	0.48900	0.58395	0.82608	0.85457	0.86881	0.62668	0.21839	0.30386	0.32760	0.39881	0.36558	0.35608	0.46053	0.38932	0.43680	0.41306	0.39407
66	0.29763	0.29123	0.27202	0.27202	0.25922	0.29123	0.32963	0.39844	0.36483	0.33123	0.23362	0.23843	0.23683	0.26243	0.27844	0.28804	0.31044	0.32804	0.33124	0.34724	0.34244
67	0.27268	0.26727	0.21858	0.20776	0.18504	0.24347	0.39171	0.42526	0.45664	0.43933	0.21101	0.18396	0.25646	0.28893	0.31165	0.30624	0.29867	0.31706	0.28568	0.29542	0.26620
68	0.29538	0.28669	0.29914	0.30243	0.31794	0.29844	0.24486	0.21407	0.22606	0.26601	0.36964	0.35673	0.33370	0.32030	0.31701	0.32171	0.31090	0.31490	0.31490	0.31184	0.32171
69	0.39681	0.35272	0.32333	0.29393	0.30863	0.33068	0.43355	0.47030	0.41151	0.41886	0.18371	0.30864	0.44827	0.39683	0.48501	0.36008	0.53645	0.52175	0.52175	0.41887	0.36743
70	0.30052	0.29739	0.32869	0.29113	0.30991	0.27861	0.50086	0.68869	0.62921	0.56660	0.29426	0.31305	0.38819	0.44453	0.46645	0.47584	0.48210	0.48836	0.57289	0.51967	0.51341
71	0.65157	0.68777	0.62055	0.72914	0.53264	0.64640	1.06527	1.03942	0.89979	0.99287	0.73431	0.73434	0.66194	0.69814	0.80674	0.74986	0.81191	0.88948	0.88948	0.92051	1.00843
72	0.67045	0.84285	0.80454	0.82369	0.97694	0.99610	0.82369	1.01525	1.01525	0.90032	0.45974	0.80457	0.99613	0.84288	1.07276	0.91951	0.82373	0.97698	1.03445	0.95782	1.01529
73	0.77648	0.62189	0.69216	0.62540	0.67108	0.69216	0.77297	0.85027	0.90297	0.83621	0.72729	0.67813	0.69570	0.82219	0.83625	0.85030	0.90652	0.92760	0.86787	0.81165	0.92760
74	0.51731	0.54345	0.49255	0.52144	0.51181	0.53382	0.47329	0.42926	0.46090	0.50355	0.55996	0.51458	0.56549	0.58062	0.57925	0.59989	0.59989	0.58613	0.65767	0.62740	0.61777
75	0.34262	0.34823	0.34441	0.33981	0.33752	0.31890	0.29338	0.29007	0.29645	0.30359	0.33624	0.34646	0.34263	0.34723	0.35871	0.36534	0.36458	0.37453	0.37019	0.39927	0.40310
76	0.25610	0.27346	0.26478	0.24525	0.20835	0.24959	0.27346	0.26478	0.24091	0.24091	0.30385	0.31037	0.31688	0.31037	0.33859	0.39068	0.37982	0.38416	0.42974	0.45579	0.46230
77	0.85446	0.70188	0.83920	0.82394	0.85446	0.83920	0.88498	0.99178	1.02230	0.93075	0.48826	0.68665	0.91553	0.88501	0.94604	0.76294	0.97656	1.12915	0.85449	1.12915	1.12915
78	3.03353	3.12546	3.12546	3.40123	2.75775	2.75775	2.20620	2.39005	2.29813	2.57390	1.74658	2.11436	1.83857	1.83857	1.65472	2.02243	1.93050	1.83857	1.37893	2.11436	2.02243
79	1.24395	1.19485	1.16211	1.32579	1.42400	1.47310	1.16211	1.06391	1.17848	1.39126	1.42400	1.62048	1.86600	1.80053	1.70232	1.76779	1.62048	1.98058	2.07879	2.02969	2.11153
80	4.81787	5.06027	5.12088	4.75726	4.60576	4.72696	4.84817	4.75726	4.39365	3.57552	2.93920	4.18170	4.24231	4.39382	4.24231	4.15140	3.54536	3.27264	3.39385	3.21203	2.57569
81	3.93605	3.90269	3.85821	4.05835	3.78038	3.45794	3.69143	3.36899	3.42458	3.22444	3.09102	3.38024	3.55814	3.08002	3.09114	2.89099	2.47958	2.52406	2.39063	2.16824	2.06817
82	4.49801	4.38168	4.73067	4.26535	4.26535	4.88577	5.19598	4.80822	4.57556	3.99392	3.37351	4.88596	4.53696	4.73085	3.95530	4.11041	3.72263	3.41242	2.98586	2.52053	2.13276
83	0.62057	0.60784	0.60784	0.60784	0.58556	0.58556	0.54737	0.60784	0.68103	0.63966	0.85288	0.76380	0.78926	0.75107	0.77335	0.73834	0.77017	0.80836	0.83700	0.73198	0.78608
84	1.27600	1.36264	1.06333	1.17361	1.20511	1.10272	1.20511	1.12635	1.15785	1.22086	1.12635	1.37057	1.26817	1.44934	1.33906	1.48085	1.50448	1.33119	1.38633	1.33119	1.19728
85	4.10988	3.90179	3.76306	3.57230	3.48560	3.34687	3.19080	3.48560	3.55496	3.90179	3.81508	4.16207	4.49157	4.56093	4.19675	4.09270	4.11004	3.86726	3.88460	3.93662	3.98865
86	5.96414	6.58417	6.76133	6.79085	6.58417	6.67275	6.64323	6.73180	6.90895	5.69841	5.04885	5.34431	4.75378	4.93094	4.39946	4.39946	4.28135	4.31088	4.16325	4.31088	4.22230
87	6.54511	6.75970	7.18889	7.40348	7.02794	7.10841	6.59875	6.03545	4.74788	4.18458	3.16526	2.81665	2.52157	2.68252	2.84348	3.13855	3.08490	2.89713	2.70935	2.68252	2.60205
