State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.44437	1.20135	1.15636	0.98988	0.91789	0.78740	0.69741	0.72891	0.83240	0.77840	0.57593	0.58043	0.62542	0.58493	0.53543	0.52194	0.53543	0.45448	0.43198	0.53997	0.63447
2	1.26382	1.45334	1.40594	1.42964	1.20848	1.12160	1.01891	0.83725	0.77406	1.06631	1.18478	1.17689	0.99522	0.72667	0.72667	0.67928	0.63189	0.65563	0.76622	0.77411	0.71092
3	3.58049	3.39109	3.39897	2.98100	2.64189	2.18449	1.65611	1.11985	1.19871	1.57725	2.55515	2.14506	1.63245	1.61668	1.38798	1.52993	1.52993	2.01903	2.29506	1.96382	2.10578
4	2.00847	1.68457	1.67211	1.49151	1.28911	0.97462	0.89055	0.66635	0.64456	0.76600	0.98396	1.07115	0.96839	0.88432	0.91234	0.85318	0.95905	0.90618	0.99337	1.03697	1.09302
5	0.55469	0.56226	0.56226	0.53187	0.56986	0.44069	0.47868	0.47109	0.44829	0.47868	0.51667	0.42550	0.42550	0.34952	0.37231	0.39510	0.37991	0.35714	0.43313	0.44072	0.51671
6	0.71338	0.68592	0.67220	0.69964	0.64476	0.64476	0.63104	0.74079	0.76823	1.05631	1.04260	0.61733	0.53502	0.38411	0.42527	0.50758	0.56245	0.50762	0.48018	0.64481	0.67225
7	1.17884	1.25436	1.46594	1.23925	1.16368	1.40549	1.55661	1.63218	1.19391	1.25436	1.11834	0.86143	0.84631	0.57428	0.66496	0.66496	0.72541	0.68012	0.61967	0.64990	0.72546
8	1.84754	2.45520	3.18447	3.81650	4.35129	4.47284	4.64300	4.52146	3.57341	3.06292	3.23308	2.23642	1.26406	1.33699	1.23975	1.14252	1.19114	1.43433	1.70175	1.67744	1.72606
9	1.46624	1.33870	1.37694	1.45344	1.44069	1.67018	1.77218	1.81043	1.78493	1.84867	1.77218	1.44069	1.12195	0.96896	1.00721	0.90521	0.94346	0.89253	0.96903	1.04553	1.13479
10	2.18404	2.09297	2.01497	2.18396	2.18396	2.23596	1.84597	2.00197	2.26196	2.91195	3.10695	2.62596	1.91097	1.57297	1.49498	1.54697	1.48198	1.59909	1.92411	1.72910	1.69009
11	2.40173	2.45462	2.22505	2.18974	2.11027	1.88070	2.00431	2.18974	2.40165	2.46345	2.48994	2.87844	3.13450	3.26694	3.24046	3.34641	3.38173	3.50560	3.29367	3.08174	3.20537
12	1.78359	1.84574	1.65909	1.60517	1.50562	1.46829	1.46415	1.55125	1.37704	1.06182	0.91665	0.97886	1.31068	1.44341	1.43097	1.37290	1.45585	1.61358	1.60114	1.80439	1.79195
13	1.01419	0.99753	0.89778	0.91440	0.69827	0.70658	0.59020	0.54033	0.60683	0.98090	0.87284	0.45720	0.38239	0.40732	0.39901	0.48214	0.41564	0.44892	0.45723	0.65675	0.58193
14	0.69796	0.75008	0.62574	0.59766	0.64981	0.52546	0.50139	0.46128	0.41315	0.43721	0.34496	0.30485	0.28479	0.31287	0.29682	0.36501	0.36903	0.36905	0.43725	0.40114	0.47335
15	0.42309	0.42436	0.37277	0.36503	0.34697	0.30957	0.29538	0.28248	0.28248	0.20638	0.14446	0.18961	0.22057	0.22830	0.21541	0.23604	0.26829	0.26057	0.25799	0.29411	0.31862
