File accession	Output type	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Experiment target	File download URL	File analysis title
ENCFF210BTO	IDR thresholded peaks	ENCSR000CED	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002108	small intestine	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF210BTO/@@download/ENCFF210BTO.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF349BUL	IDR thresholded peaks	ENCSR000CDZ	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002370	thymus	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF349BUL/@@download/ENCFF349BUL.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF502WDT	IDR thresholded peaks	ENCSR000ETQ	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF502WDT/@@download/ENCFF502WDT.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF065ODV	conservative IDR thresholded peaks	ENCSR000DIP	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF065ODV/@@download/ENCFF065ODV.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF316FYN	IDR thresholded peaks	ENCSR000CBN	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002037	cerebellum	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF316FYN/@@download/ENCFF316FYN.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF097CAQ	IDR thresholded peaks	ENCSR000CBL	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF097CAQ/@@download/ENCFF097CAQ.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF491RJK	IDR thresholded peaks	ENCSR000CBV	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF491RJK/@@download/ENCFF491RJK.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF089EWX	IDR thresholded peaks	ENCSR000CBY	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002106	spleen	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF089EWX/@@download/ENCFF089EWX.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF575MGI	IDR thresholded peaks	ENCSR000CBO	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0005343	cortical plate	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF575MGI/@@download/ENCFF575MGI.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF951GOP	IDR thresholded peaks	ENCSR000CBI	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF951GOP/@@download/ENCFF951GOP.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF281QMV	IDR thresholded peaks	ENCSR000CEH	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000955	brain	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF281QMV/@@download/ENCFF281QMV.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF033UQX	IDR thresholded peaks	ENCSR000CEF	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000473	testis	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF033UQX/@@download/ENCFF033UQX.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF504JDS	conservative IDR thresholded peaks	ENCSR000DIU	TF ChIP-seq	/mouse-donors/ENCDO324YEK/	EFO:0005233	CH12.LX	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF504JDS/@@download/ENCFF504JDS.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF601JVE	IDR thresholded peaks	ENCSR000DIS	TF ChIP-seq	/mouse-donors/ENCDO089AAA/	EFO:0002034	G1E	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF601JVE/@@download/ENCFF601JVE.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF805QBU	IDR thresholded peaks	ENCSR000CFJ	TF ChIP-seq	/mouse-donors/ENCDO081AAA/	CL:0002476	bone marrow macrophage	primary cell	CTCF-mouse	https://www.encodeproject.org/files/ENCFF805QBU/@@download/ENCFF805QBU.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF142CNG	IDR thresholded peaks	ENCSR000CFH	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF142CNG/@@download/ENCFF142CNG.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF611HDQ	IDR thresholded peaks	ENCSR000CBW	TF ChIP-seq	/mouse-donors/ENCDO072AAA/	CL:2000042	embryonic fibroblast	primary cell	CTCF-mouse	https://www.encodeproject.org/files/ENCFF611HDQ/@@download/ENCFF611HDQ.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF957SPH	conservative IDR thresholded peaks	ENCSR000CBJ	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002113	kidney	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF957SPH/@@download/ENCFF957SPH.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF883UPM	IDR thresholded peaks	ENCSR000ERM	TF ChIP-seq	/mouse-donors/ENCDO324YEK/	EFO:0005233	CH12.LX	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF883UPM/@@download/ENCFF883UPM.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF086ZTV	IDR thresholded peaks	ENCSR000CDX	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002264	olfactory bulb	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF086ZTV/@@download/ENCFF086ZTV.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF136ZDK	IDR thresholded peaks	ENCSR397RHW	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF136ZDK/@@download/ENCFF136ZDK.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF589ZBJ	IDR thresholded peaks	ENCSR041SMK	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF589ZBJ/@@download/ENCFF589ZBJ.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF430PPJ	IDR thresholded peaks	ENCSR677HXC	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0001890	forebrain	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF430PPJ/@@download/ENCFF430PPJ.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF198SSR	IDR thresholded peaks	ENCSR418SBY	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF198SSR/@@download/ENCFF198SSR.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF165LXO	IDR thresholded peaks	ENCSR677SIH	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF165LXO/@@download/ENCFF165LXO.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF194HVL	IDR thresholded peaks	ENCSR000CBU	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002107	liver	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF194HVL/@@download/ENCFF194HVL.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF024JOZ	IDR thresholded peaks	ENCSR143WOK	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002113	kidney	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF024JOZ/@@download/ENCFF024JOZ.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF660HRL	IDR thresholded peaks	ENCSR245OKD	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	UBERON:0000948	heart	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF660HRL/@@download/ENCFF660HRL.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF143RZH	IDR thresholded peaks	ENCSR799YRV	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002305	layer of hippocampus	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF143RZH/@@download/ENCFF143RZH.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF784ASD	IDR thresholded peaks	ENCSR000AIJ	TF ChIP-seq	/mouse-donors/ENCDO321TZV/	EFO:0001098	C2C12	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF784ASD/@@download/ENCFF784ASD.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF327LYS	IDR thresholded peaks	ENCSR002ZAG	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000160	intestine	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF327LYS/@@download/ENCFF327LYS.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF052KVO	conservative IDR thresholded peaks	ENCSR362VNF	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007751	E14TG2a.4	cell line	CTCF-mouse	https://www.encodeproject.org/files/ENCFF052KVO/@@download/ENCFF052KVO.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF921ILM	IDR thresholded peaks	ENCSR877MSN	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002305	layer of hippocampus	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF921ILM/@@download/ENCFF921ILM.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF680EMQ	IDR thresholded peaks	ENCSR415XNJ	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF680EMQ/@@download/ENCFF680EMQ.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF649JAA	IDR thresholded peaks	ENCSR798CCX	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	UBERON:0001388	gastrocnemius	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF649JAA/@@download/ENCFF649JAA.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF388VCL	IDR thresholded peaks	ENCSR642FSG	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	NTR:0000646	left cerebral cortex	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF388VCL/@@download/ENCFF388VCL.bed.gz	ENCODE4 v1.8.0 mm10
ENCFF609MDN	IDR thresholded peaks	ENCSR491NUM	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0000948	heart	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF609MDN/@@download/ENCFF609MDN.bed.gz	ENCODE4 v1.5.1 mm10
ENCFF999RIN	IDR thresholded peaks	ENCSR644VYX	TF ChIP-seq	/mouse-donors/ENCDO509HIY/	NTR:0000646	left cerebral cortex	tissue	CTCF-mouse	https://www.encodeproject.org/files/ENCFF999RIN/@@download/ENCFF999RIN.bed.gz	ENCODE4 v1.8.0 mm10
