File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF364RRO	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CED	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002108	small intestine	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF210BTO/	873819	ENCODE Processing Pipeline	073cf189cd09e7dcc772f58eec68a799		https://www.encodeproject.org/files/ENCFF364RRO/@@download/ENCFF364RRO.bigBed				released	s3://encode-public/2020/10/13/d540931e-5744-4352-9cca-a3e1b5eef4e0/ENCFF364RRO.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/d540931e-5744-4352-9cca-a3e1b5eef4e0/ENCFF364RRO.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, moderate library complexity, inconsistent platforms, mild to moderate bottlenecking, control low read depth, mixed read lengths	insufficient read length, insufficient replicate concordance	extremely low read depth
ENCFF133WLZ	bigWig	bigWig		signal p-value	mm10	ENCSR000CED	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002108	small intestine	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF572LSK/, /files/ENCFF396BWZ/, /files/ENCFF905OLF/, /files/ENCFF313DQV/	573392987	ENCODE Processing Pipeline	9e4927b06c565beb0849e82a3c4d9ea8		https://www.encodeproject.org/files/ENCFF133WLZ/@@download/ENCFF133WLZ.bigWig				released	s3://encode-public/2020/10/13/427a134d-6373-4d82-8fbc-8098a8ffea9a/ENCFF133WLZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/427a134d-6373-4d82-8fbc-8098a8ffea9a/ENCFF133WLZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, moderate library complexity, inconsistent platforms, mild to moderate bottlenecking, control low read depth, mixed read lengths	insufficient read length, insufficient replicate concordance	extremely low read depth
ENCFF210BTO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CED	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002108	small intestine	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF313DQV/, /files/ENCFF396BWZ/, /files/ENCFF572LSK/, /files/ENCFF905OLF/	494495	ENCODE Processing Pipeline	3596b813e0b4fbc9503ab1ebed4cc740		https://www.encodeproject.org/files/ENCFF210BTO/@@download/ENCFF210BTO.bed.gz				released	s3://encode-public/2020/10/13/3f2d5e4e-758c-4e37-98ab-7eddddd71750/ENCFF210BTO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/3f2d5e4e-758c-4e37-98ab-7eddddd71750/ENCFF210BTO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, low read length, moderate library complexity, inconsistent platforms, mild to moderate bottlenecking, control low read depth, mixed read lengths	insufficient read length, insufficient replicate concordance	extremely low read depth
ENCFF669UPX	bigWig	bigWig		signal p-value	mm10	ENCSR000CDZ	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002370	thymus	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF193JZN/, /files/ENCFF851LYC/, /files/ENCFF574OYI/, /files/ENCFF009MYK/	348134015	ENCODE Processing Pipeline	a1d5f2c84dff3d4511409077d461a091		https://www.encodeproject.org/files/ENCFF669UPX/@@download/ENCFF669UPX.bigWig				released	s3://encode-public/2020/10/13/7461b88e-ee21-4123-9438-7e1fd6952a57/ENCFF669UPX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/7461b88e-ee21-4123-9438-7e1fd6952a57/ENCFF669UPX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, moderate library complexity, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	poor library complexity, control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF349BUL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CDZ	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002370	thymus	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF193JZN/, /files/ENCFF851LYC/, /files/ENCFF574OYI/, /files/ENCFF009MYK/	340834	ENCODE Processing Pipeline	518c86bbd71d11805f1a29762ffd6cc9		https://www.encodeproject.org/files/ENCFF349BUL/@@download/ENCFF349BUL.bed.gz				released	s3://encode-public/2020/10/13/c133dcc9-606c-4138-9c17-640729566b82/ENCFF349BUL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/c133dcc9-606c-4138-9c17-640729566b82/ENCFF349BUL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, moderate library complexity, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	poor library complexity, control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF389OZV	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CDZ	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002370	thymus	tissue	Mus musculus										CTCF-mouse	DNA						2012-04-13	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF349BUL/	604884	ENCODE Processing Pipeline	18800082d216d680da52939e0d0c0d51		https://www.encodeproject.org/files/ENCFF389OZV/@@download/ENCFF389OZV.bigBed				released	s3://encode-public/2020/10/13/5e96371d-f50a-4979-a3a0-47beac7c2217/ENCFF389OZV.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/5e96371d-f50a-4979-a3a0-47beac7c2217/ENCFF389OZV.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, moderate library complexity, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	poor library complexity, control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF852JDS	bigWig	bigWig		signal p-value	mm10	ENCSR000ETQ	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2011-09-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF612FIH/, /files/ENCFF797CGV/, /files/ENCFF534PLE/	531163062	ENCODE Processing Pipeline	966f03a154a2bbcae17ff3fda29b9be4		https://www.encodeproject.org/files/ENCFF852JDS/@@download/ENCFF852JDS.bigWig				released	s3://encode-public/2020/10/13/21fdb16e-8ebe-434f-a503-1b7b4072aa56/ENCFF852JDS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/21fdb16e-8ebe-434f-a503-1b7b4072aa56/ENCFF852JDS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	improper control_type of control experiment, low read depth, low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF502WDT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ETQ	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2011-09-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF612FIH/, /files/ENCFF797CGV/, /files/ENCFF547MET/, /files/ENCFF534PLE/	790142	ENCODE Processing Pipeline	fb34db952ef7ca0132fe4be35fc6d7eb		https://www.encodeproject.org/files/ENCFF502WDT/@@download/ENCFF502WDT.bed.gz				released	s3://encode-public/2020/10/13/c5640186-9441-4c0f-812f-9e14d22d5a6f/ENCFF502WDT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/c5640186-9441-4c0f-812f-9e14d22d5a6f/ENCFF502WDT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	improper control_type of control experiment, low read depth, low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF265ZXD	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ETQ	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2011-09-19	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF502WDT/	1348755	ENCODE Processing Pipeline	690df5b765979e2c30fbd77ea81cee86		https://www.encodeproject.org/files/ENCFF265ZXD/@@download/ENCFF265ZXD.bigBed				released	s3://encode-public/2020/10/13/a4dece65-9e1a-4157-8b16-4a508f68b5c0/ENCFF265ZXD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/a4dece65-9e1a-4157-8b16-4a508f68b5c0/ENCFF265ZXD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	improper control_type of control experiment, low read depth, low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF050XCY	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000DIP	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF065ODV/	961670	ENCODE Processing Pipeline	c43cd267298d2bd27129562721abf7e2		https://www.encodeproject.org/files/ENCFF050XCY/@@download/ENCFF050XCY.bigBed				released	s3://encode-public/2020/10/13/127985a8-7e29-4e2a-8a02-e2aac54f6135/ENCFF050XCY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/127985a8-7e29-4e2a-8a02-e2aac54f6135/ENCFF050XCY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
