state (Emission order)	Genome %	ENCFF024JOZ_kidney.bed.gz	ENCFF033UQX_testis.bed.gz	ENCFF052KVO_E14TG2a.4.bed.gz	ENCFF065ODV_MEL.bed.gz	ENCFF086ZTV_olfactory-bulb.bed.gz	ENCFF089EWX_spleen.bed.gz	ENCFF089GBC_midbrain.bed.gz	ENCFF092NMJ_hindbrain.bed.gz	ENCFF097CAQ_bone-marrow.bed.gz	ENCFF136ZDK_liver.bed.gz	ENCFF142CNG_MEL.bed.gz	ENCFF143RZH_layer-of-hippocampus.bed.gz	ENCFF165LXO_lung.bed.gz	ENCFF194HVL_liver.bed.gz	ENCFF198SSR_lung.bed.gz	ENCFF210BTO_small-intestine.bed.gz	ENCFF281QMV_brain.bed.gz	ENCFF316FYN_cerebellum.bed.gz	ENCFF327LYS_intestine.bed.gz	ENCFF349BUL_thymus.bed.gz	ENCFF388VCL_left-cerebral-cortex.bed.gz	ENCFF430PPJ_forebrain.bed.gz	ENCFF491RJK_lung.bed.gz	ENCFF502WDT_MEL.bed.gz	ENCFF504JDS_CH12.LX.bed.gz	ENCFF575MGI_cortical-plate.bed.gz	ENCFF589ZBJ_liver.bed.gz	ENCFF601JVE_G1E.bed.gz	ENCFF609MDN_heart.bed.gz	ENCFF611HDQ_embryonic-fibroblast.bed.gz	ENCFF637GEK_heart.bed.gz	ENCFF649JAA_gastrocnemius.bed.gz	ENCFF660HRL_heart.bed.gz	ENCFF680EMQ_gastrocnemius.bed.gz	ENCFF784ASD_C2C12.bed.gz	ENCFF805QBU_bone-marrow-macrophage.bed.gz	ENCFF883UPM_CH12.LX.bed.gz	ENCFF907XEG_stomach.bed.gz	ENCFF921ILM_layer-of-hippocampus.bed.gz	ENCFF951GOP_heart.bed.gz	ENCFF957SPH_kidney.bed.gz	ENCFF999RIN_left-cerebral-cortex.bed.gz
1	0.79863	1.72406	0.86159	3.88758	1.77629	0.12644	0.05739	1.44305	1.30614	0.32359	1.46082	1.05092	1.54654	1.44800	0.62544	1.14115	0.68883	0.86293	0.34799	1.63023	0.11187	1.55406	0.97080	0.24831	2.27012	1.25061	0.47125	1.38025	0.65381	0.56475	0.20304	0.97743	1.21840	1.24978	0.48672	0.04644	0.49445	2.54972	1.72823	1.71308	0.48750	0.72759	1.75919
2	0.45494	3.82026	2.30682	5.00955	2.47472	0.66782	0.20598	3.05738	3.10325	0.81319	2.79921	2.00886	2.63325	3.60583	1.84419	3.05381	2.03774	3.00206	1.12555	3.36654	0.61400	2.55899	2.51664	1.12752	2.78140	2.78500	1.92708	2.85609	1.24353	2.24549	1.00636	1.79213	2.10971	2.03709	1.17431	0.29787	1.29395	3.86653	3.41822	2.70177	1.64425	2.25919	2.58947
3	0.45565	2.66730	2.40958	2.50227	1.64991	1.53560	0.51646	2.09323	2.46040	1.60516	2.89680	1.81015	2.18973	2.51751	2.20082	2.52546	2.15876	1.60727	1.67673	2.81197	1.99754	1.80325	1.70684	1.46670	1.78355	1.52174	1.46975	2.57090	1.00135	1.65267	0.99158	1.60752	1.87831	1.88222	0.98221	0.45315	1.67594	3.21955	2.66028	2.06577	1.26547	1.87301	2.15960
4	1.15402	0.66741	0.30965	0.59099	0.37194	0.17856	0.01244	0.58080	0.53139	0.17536	0.52762	0.34158	0.70809	0.47593	0.29031	0.53884	0.28641	0.15728	0.28157	0.71033	0.14052	0.58090	0.37365	0.16012	0.58583	0.32773	0.21665	0.51630	0.26051	0.25145	0.21471	0.39157	0.52105	0.55114	0.20892	0.03656	0.27690	1.15704	0.71870	0.76308	0.19300	0.26791	0.83318
5	0.47293	1.75306	0.59980	0.97673	0.31344	0.64702	0.00647	2.72111	3.28985	0.11725	0.62165	0.25289	2.34631	1.52119	0.54596	1.22987	0.40288	2.08958	2.65645	1.42918	0.14816	2.23314	2.79217	0.35609	0.45638	0.57932	2.71289	0.82067	0.20545	1.26343	0.46158	0.88039	1.08708	1.07726	0.57866	0.09565	0.32269	1.44862	1.61078	2.34644	0.75829	0.56627	2.37098
6	0.26194	3.75624	1.54543	1.61453	0.74135	1.95133	0.42414	4.40033	5.78282	0.67511	1.72676	0.69150	4.31398	4.34201	2.32329	4.67608	1.66254	3.80771	4.85001	3.65615	0.51255	4.15213	5.24328	2.58508	1.17215	1.34270	5.16049	2.62162	0.35359	5.66163	2.09838	3.86202	3.77926	4.35892	2.79362	1.25613	1.06554	2.40777	4.17312	4.21312	4.62611	2.48617	4.12277
7	0.23777	4.31421	2.09136	1.60287	0.85832	3.42356	0.89566	4.75129	5.91689	1.41671	2.17022	0.97253	3.54711	4.53941	2.73829	4.61533	2.44488	4.19456	3.48069	4.13525	2.21492	3.03010	4.84090	2.94264	1.07490	1.35166	3.00374	2.54108	0.76690	4.55683	2.57825	3.45112	3.14825	3.71303	2.27181	1.92965	2.13443	2.04106	4.41443	3.64733	3.44071	2.37766	3.56549
8	0.14782	9.32799	7.28621	4.03619	4.94196	11.85413	7.13584	6.77295	8.49930	7.21470	7.29381	5.03993	6.82354	9.79363	8.17398	12.10346	8.98776	6.58129	6.99303	9.96884	11.67705	6.10667	7.24578	8.66722	4.21772	5.90112	6.36229	7.86872	6.31071	10.05428	8.27596	9.98336	8.45640	10.45459	7.17395	8.51947	10.42554	4.44397	10.24584	6.60085	10.09540	8.53467	6.94218
9	0.28184	3.01644	0.80966	0.68102	0.38275	0.69494	0.30952	1.28895	1.76377	0.56039	1.02113	0.30319	1.28528	3.35467	1.72753	4.85664	1.62340	0.81602	0.98660	3.40206	0.72165	1.10971	1.14789	1.60843	0.45381	0.45592	0.86455	1.63445	0.30448	3.05184	0.86544	2.87853	2.17472	3.32612	1.20081	0.79914	1.08388	1.10263	3.75144	1.24816	3.02818	1.79142	1.58499
10	0.27642	1.80452	0.51641	0.67631	0.41360	0.35583	0.10086	0.62867	0.75596	0.37918	1.08628	0.27540	0.64287	1.62641	2.28192	2.80830	2.49535	0.24629	0.31540	3.37409	0.32689	0.55055	0.47695	1.00307	0.39747	0.41424	0.30640	1.55945	0.23331	1.11245	0.40529	1.10370	0.86140	1.43466	0.43911	0.30599	0.96291	0.99644	2.44614	0.73511	1.41252	1.72641	0.79421
