state	comments	group	color	itemRgb	state_order_by_group	mneumonics
1	Weak enhancer in embryo (DNase, HK4me1 signal). Ct-spec: low signals in all available cells (11_TrP: close to quiescent) but does not include ESC	WkEnh	#ffff00	(255, 255, 0)	55	mEnhWk1
2	Weak enhancers. Weak to moderate DNase in many cell types, higher in ESC, limb, epithelium/neural tube stomatch testis. Weak H3K4me1 relatively stronger in ESC, placenta, and gonad. Ct-spec: low signal state (11_TrP) in most samples, few weak enhanncer states in few cell types, while weak/poised enhancer in a few  but does not include ESC	WkEnh	#ffff00	(255, 255, 0)	56	mEnhWk2
3	DNase is the strongest mark in state and found varying levels for different cell and tissue types (higher in heart, stomach, kidney, epithelium, limb, musculature, immune_organ, adrenal_gland, gonad).  Some weak H3K27me3 and H3K4me1.  Ct-spec: low signal state (11_TrP) in most samples, while polycomb repressed and weak/poised enhancers in a few (DNase was not included in model).	OpenC	#fff44f	(255, 244, 79)	28	mOpenC1
4	Weak DNase in various cell types (but slightly higher in stomach, musculature, gonad).Weaker H3K4me1 and H3K27me3 in a subset. Ct-spec: low signal state (11_TrP) in all samples (DNase was not included in model).	OpenC	#fff44f	(255, 244, 79)	29	mOpenC2
5	Weak enhancers, relatively strongest DNase and H3K4me1 in brain, but some signal found in others. Ct-spec weak enhancers in many brain or neural tube samples, but not others	WkEnh	#ffff00	(255, 255, 0)	57	mEnhWk3
6	Weak to moderate enhancers. DNase and H3K4me1 in multiple tissue types including brain, heart, lung, limb, and epithelium/neural tube. Weak H3K27ac in some of these. Ct-spec: mostly mix of weak/active/poised enhancers; more active states found in heart	enhancers	#FFA500	(255, 165, 0)	37	mEnhA1
7	Active enhancers in most cell and tissue types (e.g. brain, heart, digestive, limb, epithelium) weaker in some cell types (e.g. liver, spleen, immune). Strong DNase, ATAC, H3K4me1, H3K27ac, H3K9ac. ct-spec annotations: active and posied enhancers depending on tissue/stage	enhancers	#FFA500	(255, 165, 0)	38	mEnhA2
8	Strong active enhancers in almost all cell types, often strongest signals for DNase/ATAC and H3K4me1, H3K27ac. Ct-spec: almost constitutively in strong enhancer states	enhancers	#FFA500	(255, 165, 0)	39	mEnhA3
9	Active enhancers signals (DNase, H3K4me1, H3K27ac, ATAC) in multiple tissue types including kidney, lung, heart, stomach, limb. Ct-spec: active enhancers in heart, facial prominence, limb, intestine, stomach, kidney, lung; poised/weak enhancers in others. 	enhancers	#FFA500	(255, 165, 0)	40	mEnhA4
10	Weak to moderate enhancer signal (H3K4me1, H3K27ac, DNase, ATAC) in multiple tissues including  heart, stomach, kidney, intestine, lung, and liver. Ct-spec: Mostly weak/poised enhancers in facial prominence, heart, liver, limb, intestine, stomach, kidney, lung. Poised enhancers in neural tube. Mostly low signal  (11_TrP) in brain.	enhancers	#FFA500	(255, 165, 0)	41	mEnhA5
11	Weak to moderate enhancers. Relatively stronger enhancer marks (Dnase, H3K4me1, H3K27ac) in intestine, kidney, liver, stomach, and lung while weaker signals in some others. Ct-spec: weak enhancers in most liver, intestine, stomach, lung and kidney samples	WkEnh	#ffff00	(255, 255, 0)	58	mEnhWk4
12	Weak enhancers (weak Dnase and H3K4me1) in intestine, kidney, liver. Ct-spec: weak enhancers in some or all intestine, stomach, kidney and liver samples cells, no/low signal states in others.	WkEnh	#ffff00	(255, 255, 0)	59	mEnhWk5
13	Moderate DNase in multiple tissue types including heart, kidney, lung, musculature, stomach, adrenal gland, and gonad and weak DNase in additional ones. Also weak ATAC and H3K4me1. Ct-spec: mix of low signal state (11_TrP) particularly in Brain and neural tube and weak/poised enhancers in others (DNase was not included in model). 	OpenC	#fff44f	(255, 244, 79)	30	mOpenC3
14	Weak DNase that is relatively strongest in lung and connect_tissue/fibroblasts. Some weak H3K4me1 and H3K27ac in a limited subset of tissue relatively strongest in lung and connect_tissue/fibroblasts. Ct-spec: mix of low signal state (11_TrP) particularly in Brain, neural tube, and liver and weak/poised enhancers in others.	OpenC	#fff44f	(255, 244, 79)	31	mOpenC4
15	Generally quiescent, but some weak DNase and H3K4me1. Ct-spec: quiescent in almost all cells, weak/poised enhancers in limb, heart, and lung	quiescent	#ffffff	(255, 255, 255)	3	mQuies1
16	Weak to moderate enhancer signal (H3K4me1, DNase, and H3K27ac). Active enhancer signal (H3K27ac) is limited. Relatively strongest enhancer signals in heart, lung, and limb. Ct-spec: weak enhancers state in facial prominence, heart, limb, intestine, stomach, kidney; strong in some lung samples; poised enhancers in brain, neural tube, and liver	enhancers	#FFA500	(255, 165, 0)	42	mEnhA6
